id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1461,Methylprednisolone Acetate Injection,Current,Rheumatology,Injection,Pfizer Inc.,12/15/2021,DEPO-MEDROL,"INTRALESIONAL, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE, INTRA-ARTICULAR"
1462,Dextrose Monohydrate 10% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,03/01/2022,DEXTROSE,INTRAVENOUS
1463,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Eugia US LLC,02/20/2018,BUPIVACAINE HYDROCHLORIDE,"INFILTRATION, PERINEURAL"
1464,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/20/2018,SENSORCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
1465,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
1466,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL PD-2 WITH DEXTROSE,INTRAPERITONEAL
1467,Midazolam Hydrochloride Injection,Current,"Anesthesia, Neurology",Injection,"Fresenius Kabi USA, LLC",04/02/2020,MIDAZOLAM,"INTRAMUSCULAR, INTRAVENOUS"
1468,Dobutamine Hydrochloride Injection,Current,"Cardiovascular, Pediatric, Renal",Injection,"Hainan Poly Pharm. Co., Ltd.",11/06/2017,DOBUTAMINE,INTRAVENOUS
1469,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL PD-2 WITH DEXTROSE,INTRAPERITONEAL
1470,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,"Mylan Institutional, a Viatris Company",04/10/2020,DEXMEDETOMIDINE HYDROCHLORIDE,INTRAVENOUS
1471,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",02/22/2012,LIDOCAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
1472,Dexamethasone Sodium Phosphate Injection,Current,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Injection,"Mylan Institutional, a Viatris Company",02/08/2019,DEXAMETHASONE SODIUM PHOSPHATE,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE"
1473,Pramlintide Acetate Injection,To Be Discontinued,Endocrinology/Metabolism,Injection,AstraZeneca AB,10/27/2025,SYMLINPEN,SUBCUTANEOUS
1474,"Fluticasone Propionate and Salmeterol Xinafoate Aerosol, Metered",To Be Discontinued,Pulmonary/Allergy,,GlaxoSmithKline,07/27/2026,ADVAIR HFA,RESPIRATORY (INHALATION)
1476,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Rubicon Research Private Limited,03/10/2023,CLONAZEPAM,ORAL
1477,Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",03/23/2018,KETOROLAC TROMETHAMINE,INTRAMUSCULAR
1478,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Pfizer Inc.,03/21/2023,CLEOCIN PHOSPHATE,"INTRAMUSCULAR, INTRAVENOUS"
1480,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
